id,molecularFormula,adduct,NPC#superclass,NPC#class,ClassyFire#most specific class,ClassyFire#level 5,ClassyFire#subclass
3175_01102023_MZmine_trial_sirius_sirius_5243,C17H31N3O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
3554_01102023_MZmine_trial_sirius_sirius_5777,C16H26N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
5278_01102023_MZmine_trial_sirius_sirius_8314,C16H14N2O4S,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
4147_01102023_MZmine_trial_sirius_sirius_6631,C25H45FN4O3,[M + Na]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
4148_01102023_MZmine_trial_sirius_sirius_6632,C18H23N9O3,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
4152_01102023_MZmine_trial_sirius_sirius_6637,C20H39N3O4,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
3205_01102023_MZmine_trial_sirius_sirius_5283,C14H21BN4O6,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
3789_01102023_MZmine_trial_sirius_sirius_6112,C16H26N2O4,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
6111_01102023_MZmine_trial_sirius_sirius_9941,C27H35N3O5,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
4755_01102023_MZmine_trial_sirius_sirius_7537,C21H35N3O5,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
4769_01102023_MZmine_trial_sirius_sirius_7554,C27H48N2O7,[M + H]+,Linear polyketides,Open-chain polyketides,Dipeptides,Peptides,Amino acids
4051_01102023_MZmine_trial_sirius_sirius_6481,C16H18Br2N8O3,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
3829_01102023_MZmine_trial_sirius_sirius_6173,C18H31N3O5,[M + H]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
4596_01102023_MZmine_trial_sirius_sirius_7299,C24H33N3O5S,[M + H]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
5185_01102023_MZmine_trial_sirius_sirius_8165,C23H40N2O7S,[M + H]+,Eicosanoids,Hepoxilins,Dipeptides,Peptides,Amino acids
3308_01102023_MZmine_trial_sirius_sirius_5429,C21H35N3O7,[M + Na]+,Small peptides,Tripeptides,Dipeptides,Peptides,Amino acids
5786_01102023_MZmine_trial_sirius_sirius_9277,C23H36N2O9,[M + Na]+,Small peptides,Dipeptides,Dipeptides,Peptides,Amino acids
