id,ClassyFire#most specific class
4208_01102023_MZmine_trial_sirius_sirius_6717,Taurinated bile acids and derivatives
4387_01102023_MZmine_trial_sirius_sirius_6981,Taurinated bile acids and derivatives
3631_01102023_MZmine_trial_sirius_sirius_5887,Taurinated bile acids and derivatives
3636_01102023_MZmine_trial_sirius_sirius_5894,Taurinated bile acids and derivatives
5002_01102023_MZmine_trial_sirius_sirius_7879,Taurinated bile acids and derivatives
5751_01102023_MZmine_trial_sirius_sirius_9202,Taurinated bile acids and derivatives
6173_01102023_MZmine_trial_sirius_sirius_10056,Taurinated bile acids and derivatives
4869_01102023_MZmine_trial_sirius_sirius_7691,Taurinated bile acids and derivatives
6484_01102023_MZmine_trial_sirius_sirius_10569,Taurinated bile acids and derivatives
9130_01102023_MZmine_trial_sirius_sirius_14934,Taurinated bile acids and derivatives
6978_01102023_MZmine_trial_sirius_sirius_11298,Taurinated bile acids and derivatives
8026_01102023_MZmine_trial_sirius_sirius_12962,Taurinated bile acids and derivatives
6937_01102023_MZmine_trial_sirius_sirius_11231,Taurinated bile acids and derivatives
5657_01102023_MZmine_trial_sirius_sirius_9006,Trihydroxy bile acids
4896_01102023_MZmine_trial_sirius_sirius_7739,Trihydroxy bile acids
4898_01102023_MZmine_trial_sirius_sirius_7742,Trihydroxy bile acids
5473_01102023_MZmine_trial_sirius_sirius_8653,Trihydroxy bile acids
5677_01102023_MZmine_trial_sirius_sirius_9045,Trihydroxy bile acids
4728_01102023_MZmine_trial_sirius_sirius_7496,Trihydroxy bile acids
4553_01102023_MZmine_trial_sirius_sirius_7229,Trihydroxy bile acids
5917_01102023_MZmine_trial_sirius_sirius_9550,Trihydroxy bile acids
4555_01102023_MZmine_trial_sirius_sirius_7231,Trihydroxy bile acids
5710_01102023_MZmine_trial_sirius_sirius_9106,Trihydroxy bile acids
4000_01102023_MZmine_trial_sirius_sirius_6406,Trihydroxy bile acids
5346_01102023_MZmine_trial_sirius_sirius_8432,Trihydroxy bile acids
5720_01102023_MZmine_trial_sirius_sirius_9123,Trihydroxy bile acids
5158_01102023_MZmine_trial_sirius_sirius_8125,Trihydroxy bile acids
5947_01102023_MZmine_trial_sirius_sirius_9618,Trihydroxy bile acids
5732_01102023_MZmine_trial_sirius_sirius_9154,Trihydroxy bile acids
4053_01102023_MZmine_trial_sirius_sirius_6484,Trihydroxy bile acids
4225_01102023_MZmine_trial_sirius_sirius_6744,Trihydroxy bile acids
5017_01102023_MZmine_trial_sirius_sirius_7908,Trihydroxy bile acids
4820_01102023_MZmine_trial_sirius_sirius_7620,Trihydroxy bile acids
5993_01102023_MZmine_trial_sirius_sirius_9709,Trihydroxy bile acids
5617_01102023_MZmine_trial_sirius_sirius_8921,Trihydroxy bile acids
3672_01102023_MZmine_trial_sirius_sirius_5951,Trihydroxy bile acids
4835_01102023_MZmine_trial_sirius_sirius_7639,Trihydroxy bile acids
6446_01102023_MZmine_trial_sirius_sirius_10512,Trihydroxy bile acids
4282_01102023_MZmine_trial_sirius_sirius_6839,Trihydroxy bile acids
5831_01102023_MZmine_trial_sirius_sirius_9378,Trihydroxy bile acids
5833_01102023_MZmine_trial_sirius_sirius_9382,Trihydroxy bile acids
6323_01102023_MZmine_trial_sirius_sirius_10307,Trihydroxy bile acids
6683_01102023_MZmine_trial_sirius_sirius_10860,Trihydroxy bile acids
6511_01102023_MZmine_trial_sirius_sirius_10604,Trihydroxy bile acids
6688_01102023_MZmine_trial_sirius_sirius_10871,Trihydroxy bile acids
6335_01102023_MZmine_trial_sirius_sirius_10333,Trihydroxy bile acids
6773_01102023_MZmine_trial_sirius_sirius_10987,Trihydroxy bile acids
6780_01102023_MZmine_trial_sirius_sirius_11004,Trihydroxy bile acids
6803_01102023_MZmine_trial_sirius_sirius_11034,Trihydroxy bile acids
6964_01102023_MZmine_trial_sirius_sirius_11271,Trihydroxy bile acids
5159_01102023_MZmine_trial_sirius_sirius_8126,Trihydroxy bile acids
7023_01102023_MZmine_trial_sirius_sirius_11360,Trihydroxy bile acids
7583_01102023_MZmine_trial_sirius_sirius_12182,Trihydroxy bile acids
