rowname,Met-C6:0,Met-C6:0_110,sum_met_c6,PC(20:2/0:0); [M+H]+ C28H55N1O7P1,PC(20:2/0:0); [M+H]+ C28H55N1O7P1_138,sum_PC,Spectral Match to Stearidonic acid from NIST14,ATTIBUTE_mouse_no,ATTRIBUTE_Study_Day,ATTRIBUTE_Diet
208.mzML,6.61E-07,6.61E-07,1.32195248080287E-06,6.61E-07,6.61E-07,0.000001322,6.61E-07,13,82,0.6% Fe
210.mzML,6.33E-07,6.33E-07,1.26543700612702E-06,6.33E-07,6.15E-05,0.000062133,2.91E-06,15,82,0.6% Fe
221.mzML,1.74E-06,4.07E-07,2.15227749870986E-06,4.07E-07,3.09E-05,0.000031307,4.07E-07,11,96,0.6% Fe
222.mzML,1.28E-05,1.28E-05,2.56378228042384E-05,1.28E-05,1.28E-05,0.0000256,1.28E-05,12,96,0.6% Fe
223.mzML,2.13E-07,2.13E-07,4.26728188255192E-07,2.13E-07,2.12E-06,0.000002333,2.13E-07,13,96,0.6% Fe
224.mzML,5.13E-07,5.13E-07,1.02629770060407E-06,5.13E-07,2.08E-06,0.000002593,5.13E-07,14,96,0.6% Fe
225.mzML,7.16E-07,7.16E-07,1.43167945602667E-06,7.16E-07,7.12E-06,0.000007836,7.16E-07,15,96,0.6% Fe
26.mzML,3.72E-05,1.23E-06,3.84652413291423E-05,9.50E-06,1.02E-05,0.0000197,8.63E-06,11,4,0.6% Fe
27.mzML,6.44E-05,9.26E-07,6.52976526747225E-05,0.000102586,9.26E-07,0.000103512,5.42E-06,12,4,0.6% Fe
28.mzML,1.11E-06,1.11E-06,2.21707780597342E-06,2.33E-06,1.11E-06,0.00000344,1.11E-06,13,4,0.6% Fe
29.mzML,0.000164993,8.70E-07,0.000165863,0.00117761,8.70E-07,0.00117848,1.07E-05,14,4,0.6% Fe
30.mzML,0.000368474,1.09E-06,0.000369568,0.001016232,2.44E-05,0.001040632,0.000137639,15,4,0.6% Fe
42.mzML,4.84E-05,9.68E-07,4.9336183850498E-05,0.000170575,9.68E-07,0.000171543,0.000173046,12,8,0.6% Fe
43.mzML,4.65E-05,1.01E-06,4.75431753017872E-05,7.41E-05,1.01E-06,0.00007511,4.73E-06,13,8,0.6% Fe
44.mzML,5.87E-05,1.32E-06,6.00569871500741E-05,4.54E-05,1.32E-06,0.00004672,2.50E-05,14,8,0.6% Fe
45.mzML,3.62E-05,8.75E-07,3.71229124754837E-05,0.000340303,7.22E-06,0.000347523,2.49E-05,15,8,0.6% Fe
56.mzML,4.15E-06,9.25E-07,5.07741929045069E-06,4.77E-05,9.25E-07,0.000048625,3.86E-05,11,12,0.6% Fe
57.mzML,8.82E-07,8.82E-07,1.76499126816019E-06,8.09E-06,8.82E-07,0.000008972,4.39E-05,12,12,0.6% Fe
58.mzML,2.70E-06,6.24E-07,3.32299392652146E-06,9.04E-05,6.24E-07,0.000091024,5.39E-05,13,12,0.6% Fe
59.mzML,8.72E-06,1.25E-06,9.97156383359433E-06,2.64E-05,1.25E-06,0.00002765,3.67E-05,14,12,0.6% Fe
60.mzML,1.18E-06,1.18E-06,2.35684373998828E-06,0.000350778,2.44E-05,0.000375178,4.98E-05,15,12,0.6% Fe
71.mzML,8.70E-07,8.70E-07,1.739522752239E-06,0.000487098,1.93E-05,0.000506398,0.001284828,11,19,0.6% Fe
72.mzML,1.17E-06,1.17E-06,2.34142729830788E-06,0.000120534,8.99E-06,0.000129524,0.000160248,12,19,0.6% Fe
73.mzML,1.18E-06,1.18E-06,2.36433879456226E-06,4.01E-05,1.18E-06,0.00004128,0.001250996,13,19,0.6% Fe
74.mzML,8.40E-07,8.40E-07,1.68015673607835E-06,0.000672818,3.68E-05,0.000709618,5.51E-05,14,19,0.6% Fe
